"","name","iso_a3","currency_code","local_price","dollar_ex","GDP_dollar","date"
"80","Singapore","SGP","SGD",3.3,1.82,NA,"2002-04-01"
"81","South Africa","ZAF","ZAR",9.7,10.9,NA,"2002-04-01"
"82","South Korea","KOR","KRW",3100,1304,NA,"2002-04-01"
"83","Sweden","SWE","SEK",26,10.4,NA,"2002-04-01"
"84","Switzerland","CHE","CHF",6.3,1.66,NA,"2002-04-01"
"85","Taiwan","TWN","TWD",70,34.8,NA,"2002-04-01"
"86","Thailand","THA","THB",55,43.3,NA,"2002-04-01"
"87","Turkey","TUR","TRY",4e+06,1324500,NA,"2002-04-01"
"88","United States","USA","USD",2.49,1,NA,"2002-04-01"
"89","Venezuela","VEN","VEF",2500,857,NA,"2002-04-01"
"90","Argentina","ARG","ARS",4.1,2.88,NA,"2003-04-01"
"91","Australia","AUS","AUD",3,1.61,NA,"2003-04-01"
"92","Brazil","BRA","BRL",4.55,3.07,NA,"2003-04-01"
"93","Britain","GBR","GBP",1.99,0.632911392,NA,"2003-04-01"
"94","Canada","CAN","CAD",3.2,1.45,NA,"2003-04-01"
"95","Chile","CHL","CLP",1400,716,NA,"2003-04-01"
"96","China","CHN","CNY",9.9,8.28,NA,"2003-04-01"
"97","Czech Republic","CZE","CZK",56.57,28.9,NA,"2003-04-01"
"98","Denmark","DNK","DKK",27.75,6.78,NA,"2003-04-01"
"99","Egypt","EGY","EGP",8,5.92,NA,"2003-04-01"
"100","Euro area","EUZ","EUR",2.71,0.909090909,NA,"2003-04-01"
"101","Hong Kong","HKG","HKD",11.5,7.8,NA,"2003-04-01"
"102","Hungary","HUN","HUF",490,224,NA,"2003-04-01"
"103","Indonesia","IDN","IDR",16100,8740,NA,"2003-04-01"
"104","Japan","JPN","JPY",262,120,NA,"2003-04-01"
"105","Malaysia","MYS","MYR",5.04,3.8,NA,"2003-04-01"
"106","Mexico","MEX","MXN",23,10.53,NA,"2003-04-01"
"107","New Zealand","NZL","NZD",3.95,1.78,NA,"2003-04-01"
"108","Peru","PER","PEN",7.9,3.46,NA,"2003-04-01"
"109","Philippines","PHL","PHP",65,52.5,NA,"2003-04-01"
"110","Poland","POL","PLN",6.3,3.89,NA,"2003-04-01"
"111","Russia","RUS","RUB",41,31.1,NA,"2003-04-01"
"112","Singapore","SGP","SGD",3.3,1.78,NA,"2003-04-01"
"113","South Africa","ZAF","ZAR",13.95,7.56,NA,"2003-04-01"
"114","South Korea","KOR","KRW",3300,1220,NA,"2003-04-01"
"115","Sweden","SWE","SEK",30,8.34,NA,"2003-04-01"
"116","Switzerland","CHE","CHF",6.3,1.37,NA,"2003-04-01"
"117","Taiwan","TWN","TWD",70,34.8,NA,"2003-04-01"
"118","Thailand","THA","THB",59,42.7,NA,"2003-04-01"
"119","Turkey","TUR","TRY",3750000,1600500,NA,"2003-04-01"
"120","United States","USA","USD",2.71,1,NA,"2003-04-01"
"121","Venezuela","VEN","VEF",3700,1598,NA,"2003-04-01"
"122","Argentina","ARG","ARS",4.36,2.95,NA,"2004-05-01"
"123","Australia","AUS","AUD",3.25,1.43,NA,"2004-05-01"
"124","Brazil","BRA","BRL",5.4,3.18,NA,"2004-05-01"
"125","Britain","GBR","GBP",1.88,0.558659218,NA,"2004-05-01"
"126","Canada","CAN","CAD",3.19,1.37,NA,"2004-05-01"
"127","Chile","CHL","CLP",1400,641,NA,"2004-05-01"
"128","China","CHN","CNY",10.4,8.28,NA,"2004-05-01"
"129","Colombia","COL","COP",6500,2769.83,NA,"2004-05-01"
"130","Costa Rica","CRI","CRC",1130,433.55,NA,"2004-05-01"
"131","Czech Republic","CZE","CZK",56.42,26.5,NA,"2004-05-01"
"132","Denmark","DNK","DKK",27.75,6.22,NA,"2004-05-01"
"133","Egypt","EGY","EGP",10,6.19,NA,"2004-05-01"
"134","Euro area","EUZ","EUR",2.74,0.833333333,NA,"2004-05-01"
"135","Hong Kong","HKG","HKD",12,7.79,NA,"2004-05-01"
"136","Hungary","HUN","HUF",530,211,NA,"2004-05-01"
"137","Indonesia","IDN","IDR",16100,9120,NA,"2004-05-01"
"138","Japan","JPN","JPY",262,113,NA,"2004-05-01"
"139","Malaysia","MYS","MYR",5.04,3.8,NA,"2004-05-01"
"140","Mexico","MEX","MXN",24,11.6,NA,"2004-05-01"
"141","New Zealand","NZL","NZD",4.35,1.64,NA,"2004-05-01"
"142","Norway","NOR","NOK",35.5,6.8491,NA,"2004-05-01"
"143","Pakistan","PAK","PKR",110,57.76,NA,"2004-05-01"
"144","Peru","PER","PEN",8.99,3.49,NA,"2004-05-01"
"145","Philippines","PHL","PHP",69,55.9,NA,"2004-05-01"
"146","Poland","POL","PLN",6.3,3.87,NA,"2004-05-01"
"147","Russia","RUS","RUB",42,29,NA,"2004-05-01"
"148","Saudi Arabia","SAU","SAR",2.4,3.7502,NA,"2004-05-01"
"149","Singapore","SGP","SGD",3.3,1.71,NA,"2004-05-01"
"150","South Africa","ZAF","ZAR",12.4,6.66,NA,"2004-05-01"
"151","South Korea","KOR","KRW",3200,1177,NA,"2004-05-01"
"152","Sri Lanka","LKA","LKR",140,99,NA,"2004-05-01"
"153","Sweden","SWE","SEK",30,7.61,NA,"2004-05-01"
"154","Switzerland","CHE","CHF",6.3,1.29,NA,"2004-05-01"
"155","Taiwan","TWN","TWD",75,33.4,NA,"2004-05-01"
"156","Thailand","THA","THB",59,40.8,NA,"2004-05-01"
"157","Turkey","TUR","TRY",3950000,1531000,NA,"2004-05-01"
"158","Ukraine","UKR","UAH",7.25,5.3315,NA,"2004-05-01"
"159","United States","USA","USD",2.9,1,NA,"2004-05-01"
"160","Uruguay","URY","UYU",29.8,29.735,NA,"2004-05-01"
"161","Venezuela","VEN","VEF",4400,2977,NA,"2004-05-01"
"162","Argentina","ARG","ARS",4.75,2.897,NA,"2005-06-01"
"163","Australia","AUS","AUD",3.25,1.3015,NA,"2005-06-01"
"164","Brazil","BRA","BRL",5.9,2.4648,NA,"2005-06-01"
"165","Britain","GBR","GBP",1.88,0.546448087,NA,"2005-06-01"
"166","Canada","CAN","CAD",3.28,1.2494,NA,"2005-06-01"
"167","Chile","CHL","CLP",1500,592.45,NA,"2005-06-01"
"168","China","CHN","CNY",10.5,8.2764,NA,"2005-06-01"
"169","Colombia","COL","COP",6500,2327.7,NA,"2005-06-01"
"170","Costa Rica","CRI","CRC",1130,475.3,NA,"2005-06-01"
"171","Czech Republic","CZE","CZK",56.42,24.5409,NA,"2005-06-01"
"172","Denmark","DNK","DKK",27.75,6.0647,NA,"2005-06-01"
"173","Egypt","EGY","EGP",9,5.8,NA,"2005-06-01"
"174","Euro area","EUZ","EUR",2.92,0.814929509,NA,"2005-06-01"
"175","Hong Kong","HKG","HKD",12,7.7807,NA,"2005-06-01"
"176","Hungary","HUN","HUF",530,203.643,NA,"2005-06-01"
"177","Indonesia","IDN","IDR",14600,9545,NA,"2005-06-01"
"178","Japan","JPN","JPY",250,106.715,NA,"2005-06-01"
"179","Malaysia","MYS","MYR",5.25,3.8,NA,"2005-06-01"
"180","Mexico","MEX","MXN",28,10.8675,NA,"2005-06-01"
"181","New Zealand","NZL","NZD",4.45,1.4023,NA,"2005-06-01"
"182","Norway","NOR","NOK",39,6.4326,NA,"2005-06-01"
"183","Pakistan","PAK","PKR",130,59.62,NA,"2005-06-01"
"184","Peru","PER","PEN",8.99,3.2546,NA,"2005-06-01"
"185","Philippines","PHL","PHP",80,54.55,NA,"2005-06-01"
"186","Poland","POL","PLN",6.5,3.3096,NA,"2005-06-01"
"187","Russia","RUS","RUB",42,28.4055,NA,"2005-06-01"
"188","Saudi Arabia","SAU","SAR",9,3.7501,NA,"2005-06-01"
"189","Singapore","SGP","SGD",3.6,1.6607,NA,"2005-06-01"
"190","South Africa","ZAF","ZAR",13.95,6.6482,NA,"2005-06-01"
"191","South Korea","KOR","KRW",2500,1005.5,NA,"2005-06-01"
"192","Sri Lanka","LKA","LKR",175,99.945,NA,"2005-06-01"
"193","Sweden","SWE","SEK",31,7.4402,NA,"2005-06-01"
"194","Switzerland","CHE","CHF",6.3,1.2475,NA,"2005-06-01"
"195","Taiwan","TWN","TWD",75,31.175,NA,"2005-06-01"
"196","Thailand","THA","THB",60,40.53,NA,"2005-06-01"
"197","Turkey","TUR","TRY",4,1.369,NA,"2005-06-01"
"198","UAE","ARE","AED",9,3.6725,NA,"2005-06-01"
"199","Ukraine","UKR","UAH",7.25,5.06,NA,"2005-06-01"
"200","United States","USA","USD",3.06,1,NA,"2005-06-01"
"201","Uruguay","URY","UYU",44,24.125,NA,"2005-06-01"
"202","Venezuela","VEN","VEF",5600,2629.62,NA,"2005-06-01"
"203","Argentina","ARG","ARS",4.75,3.0638,NA,"2006-01-01"
"204","Australia","AUS","AUD",3.25,1.3308,NA,"2006-01-01"
"205","Brazil","BRA","BRL",6.2,2.2615,NA,"2006-01-01"
"206","Britain","GBR","GBP",1.88,0.566925563,NA,"2006-01-01"
"207","Canada","CAN","CAD",3.52,1.1704,NA,"2006-01-01"
"208","Chile","CHL","CLP",1560,522.75,NA,"2006-01-01"
"209","China","CHN","CNY",10.5,8.0641,NA,"2006-01-01"
"210","Czech Republic","CZE","CZK",62,23.8375,NA,"2006-01-01"
"211","Denmark","DNK","DKK",27.75,6.1769,NA,"2006-01-01"
